t,39.15,0.52,0.0132822
nvda,239.27,0.16,0.000668701
mmm,174.55,1.44,0.00824979
aapl,279.39,0.77,0.002756
jnj,146.00,0.95,0.00650685
ko,55.00,0.40,0.00727273
axp,126.10,0.43,0.00340999
msft,157.50,0.51,0.0032381
pg,125.70,0.746,0.00593477
ba,328.30,2.055,0.00625952
lmt,386.47,2.40,0.00621006
bac,34.99,0.18,0.00514433
dis,146.92,0.88,0.00598965
intc,58.99,0.315,0.00533989
ibm,135.65,1.62,0.0119425
cat,147.40,1.03,0.00698779
cvx,119.38,1.19,0.00996817
wmt,120.50,0.53,0.00439834
wm,113.00,0.512,0.00453097
pm,85.27,1.17,0.0137211
qcom,88.76,0.62,0.00698513
o,72.99,0.228,0.00312372
xom,69.94,0.87,0.0124392
cl,68.85,0.43,0.00624546
csco,47.46,0.35,0.00737463
wfc,53.30,0.51,0.00956848
cmcsa,44.08,0.21,0.00476407
khc,32.25,0.40,0.0124031
f,9.4702,0.15,0.0158392
nok,3.62,0.045,0.0124309
schw,48.12,0.17,0.00353283
utx,149.49,0.735,0.00491672
mcd,196.96,1.25,0.00634647
avgo,318.9998,3.25,0.0101881
vz,61.94,0.615,0.00992896
luv,54.63,0.18,0.00329489
pep,137.92,0.955,0.0069243
tsm,58.07,0.324,0.00557947
jpm,137.24,0.90,0.00655785
sbux,88.25,0.41,0.00464589
antm,303.00,0.80,0.00264026
flir,52.43,0.17,0.00324242
wtr,46.55,0.234,0.00502685
low,119.73,0.55,0.00459367
mo,51.13,0.84,0.0164287
ldos,98.01,0.34,0.00346903
leg,51.48,0.40,0.00777001
ma,298.56,0.40,0.00133976
v,187.75,0.30,0.00159787
ed,90.63,0.74,0.00816507
emr,76.35,0.50,0.00654879
nee,242.71,1.25,0.00515018
gs,229.20,1.25,0.00545375
cvs,74.74,0.50,0.00668986
noc,345.91,1.32,0.00381602
amtd,50.15,0.31,0.00618146
cspi,13.50,0.15,0.0111111
asml,293.59,1.1697,0.00398413
cost,295.00,0.65,0.00220339
hd,221.07,1.36,0.0061519
hon,176.41,0.90,0.00510175
c,78.66,0.51,0.0064836
d,70.99,0.918,0.0129314
tmus,77.50,4.0491,0.0522465
td,56.14,0.557,0.00992162
